sup_tot,sup_cub,ambientes,dormitorios,expensas,precio,precio_moneda,ubicación,lat,lon,fecha,href,inm_tipo
54.0,54.0,2.0,2.0,7900.0,45000,$,"San Luis 2400, Barrio Norte",-34.6002795,-58.401078399999996,2021-10-06T16:23:52.000Z,https://departamento.mercadolibre.com.ar/MLA-1106957992-departamentos-alquiler-3-amb-sin-garantia-ideal-extranjeros-_JM#position=11&search_layout=grid&type=item&tracking_id=80ca92fd-8d70-4f33-9ae3-b3ea7c2f8b5c,depto
45.0,40.0,2.0,1.0,4000.0,35000,$,"Varela 242, Flores",-34.632509000000006,-58.464008400000004,2021-09-18T04:56:35.000Z,https://departamento.mercadolibre.com.ar/MLA-1103882183-2-amb-lujo-gaona-3300-balcon-aprof-de-cat-luminoso-_JM#position=12&search_layout=grid&type=item&tracking_id=80ca92fd-8d70-4f33-9ae3-b3ea7c2f8b5c,depto
32.0,32.0,2.0,1.0,4900.0,25000,$,"Peron, Juan D., Pte. Al 2200, Once",-34.6036844,-58.381559100000004,2021-08-10T14:30:14.000Z,https://departamento.mercadolibre.com.ar/MLA-933590929-departamento-once-_JM#position=13&search_layout=grid&type=item&tracking_id=80ca92fd-8d70-4f33-9ae3-b3ea7c2f8b5c,depto
28.0,28.0,1.0,,,21000,$,"De La Cárcova 3500, Palermo",-34.5945703,-58.41422420000001,2021-09-13T19:25:35.000Z,https://departamento.mercadolibre.com.ar/MLA-1103094039-monoambiente-palermo-alquiler-_JM#position=14&search_layout=grid&type=item&tracking_id=80ca92fd-8d70-4f33-9ae3-b3ea7c2f8b5c,depto
34.0,34.0,2.0,1.0,5900.0,29000,$,"Corrientes, Avda. Al 5600, Villa Crespo",-34.5958599,-58.4427988,2021-09-07T12:24:20.000Z,https://departamento.mercadolibre.com.ar/MLA-1102018694-departamento-villa-crespo-_JM#position=15&search_layout=grid&type=item&tracking_id=80ca92fd-8d70-4f33-9ae3-b3ea7c2f8b5c,depto
35.0,35.0,2.0,1.0,4700.0,33900,$,"Vera 254, Villa Crespo",-34.5897445,-58.448116500000005,2021-08-22T01:24:43.000Z,https://departamento.mercadolibre.com.ar/MLA-935384742-2-amb-d-u-e-n-o-balcon-frances-aire-acondiclumin-subte-_JM#position=16&search_layout=grid&type=item&tracking_id=80ca92fd-8d70-4f33-9ae3-b3ea7c2f8b5c,depto
46.0,43.0,2.0,1.0,10400.0,48000,$,"Cullen 4900, Villa Urquiza",-34.571861,-58.486031999999994,2021-09-04T16:32:43.000Z,https://departamento.mercadolibre.com.ar/MLA-1101515310-departamento-en-alquiler-ubicado-en-villa-urquiza-capital-federal-buenos-aires-_JM#position=17&search_layout=grid&type=item&tracking_id=80ca92fd-8d70-4f33-9ae3-b3ea7c2f8b5c,depto
20.0,20.0,1.0,,5000.0,21000,$,"Bogado Al 4500, Almagro",-34.604999799999995,-58.42988960000001,2021-09-17T17:13:31.000Z,https://departamento.mercadolibre.com.ar/MLA-1103831142-departamento-almagro-_JM#position=18&search_layout=grid&type=item&tracking_id=80ca92fd-8d70-4f33-9ae3-b3ea7c2f8b5c,depto
39.0,38.0,2.0,1.0,6500.0,32000,$,"Palestina Al 600, Almagro",-34.6030739,-58.4257743,2021-08-03T12:15:01.000Z,https://departamento.mercadolibre.com.ar/MLA-932526742-departamento-almagro-_JM#position=19&search_layout=grid&type=item&tracking_id=80ca92fd-8d70-4f33-9ae3-b3ea7c2f8b5c,depto
43.0,43.0,2.0,1.0,4200.0,28000,$,"Av. Lope De Vega Al 3400, Villa Devoto",-34.611904700000004,-58.527660100000006,2021-08-23T14:18:10.000Z,https://departamento.mercadolibre.com.ar/MLA-935499640-departamento-en-alquiler-en-villa-devoto-av-lope-de-vega-3400-_JM#position=20&search_layout=grid&type=item&tracking_id=80ca92fd-8d70-4f33-9ae3-b3ea7c2f8b5c,depto
39.0,35.0,2.0,1.0,4600.0,35000,$,"Jose Marti 450, Flores",-34.636841100000005,-58.46983050000001,2021-08-22T12:40:35.000Z,https://departamento.mercadolibre.com.ar/MLA-935407001-alquiler-2-amb-tipo-ph-por-escalera-flores-floresta-_JM#position=21&search_layout=grid&type=item&tracking_id=80ca92fd-8d70-4f33-9ae3-b3ea7c2f8b5c,depto
35.0,35.0,2.0,1.0,6500.0,28000,$,"Frias Al 500, Villa Crespo",-34.6007636,-58.432184899999996,2021-09-07T12:17:40.000Z,https://departamento.mercadolibre.com.ar/MLA-1102044617-departamento-villa-crespo-_JM#position=22&search_layout=grid&type=item&tracking_id=80ca92fd-8d70-4f33-9ae3-b3ea7c2f8b5c,depto
30.0,30.0,1.0,1.0,3100.0,29000,$,"Santa Fé Y Uriburu 1010 1010, Recoleta",-34.596767,-58.3990139,2021-09-01T17:50:59.000Z,https://departamento.mercadolibre.com.ar/MLA-1100847013-alquiler-monoambiente-luminoso-recoleta-zona-facultades-_JM#position=23&search_layout=grid&type=item&tracking_id=80ca92fd-8d70-4f33-9ae3-b3ea7c2f8b5c,depto
42.0,42.0,2.0,1.0,7000.0,30000,$,"Juan B. Justo Al 3000, Villa Crespo",-34.59862329999999,-58.447534999999995,2021-10-05T01:09:03.000Z,https://departamento.mercadolibre.com.ar/MLA-1106653471-alquiler-dpto-2-ambientes-contrafrente-luminoso-metrobus-_JM#position=24&search_layout=grid&type=item&tracking_id=80ca92fd-8d70-4f33-9ae3-b3ea7c2f8b5c,depto
40.0,40.0,2.0,1.0,5000.0,36900,$,"Jorge Newbery 4017, Colegiales",-34.5878906,-58.450705299999996,2021-09-18T21:19:17.000Z,https://departamento.mercadolibre.com.ar/MLA-1103957970-2-amb-d-u-e-n-o-balcon-frances-subte-tren-vista-panoram-_JM#position=25&search_layout=grid&type=item&tracking_id=80ca92fd-8d70-4f33-9ae3-b3ea7c2f8b5c,depto
