"ubicacion","lat","lon","cant_dorms","cant_banos","antiguedad","expensas","precio","precio_moneda","sup_cub","sup_des","href","sup_total","ambientes","fuente"
"catamarca 500",-34.61583,-58.40578,1,,35,7100,33000,"$",45,2,"https://www.argenprop.com/departamento-en-alquiler-en-balvanera--10501427",47,2,"argenprop"
"pedro d murillo 600, piso 6",-34.60088,-58.44357,1,1,,5384,27000,"$",30,0,"https://www.argenprop.com/departamento-en-alquiler-en-parque-centenario-2-ambientes--10682849",30,2,"argenprop"
"suipacha 800",-34.59861,-58.37984,3,1,60,9000,58000,"$",85,0,"https://www.argenprop.com/departamento-en-alquiler-en-retiro-4-ambientes--10682836",85,4,"argenprop"
"yerbal  1900, piso 3",-34.62564,-58.45778,1,1,4,7900,32000,"$",37.7,4.35,"https://www.argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--10681410",42.05,2,"argenprop"
"c calvo 900, piso pb",-34.61983,-58.37947,1,1,,,48000,"$",55,0,"https://www.argenprop.com/ph-en-alquiler-en-san-telmo-2-ambientes--10357434",55,2,"argenprop"
"paraná 400, piso 8",-34.60356,-58.38801,0,1,35,3400,22000,"$",20,0,"https://www.argenprop.com/departamento-en-alquiler-en-tribunales--10682829",20,1,"argenprop"
"quesada 5500, piso 2",-34.57095,-58.49521,0,1,,7000,35000,"$",35,3,"https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-1-ambiente--10278913",38,1,"argenprop"
"ciudad de la paz 1000, piso 3",-34.56986,-58.44877,1,1,40,5200,35000,"$",35,3,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--9694189",38,2,"argenprop"
"jorges luis borges 1700, piso 3",-34.58756,-58.42817,1,1,30,5000,35000,"$",33,3,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-soho-2-ambientes--10682796",36,2,"argenprop"
"josé antonio cabrera al 3900",-34.59669,-58.42237,2,2,12,23000,150000,"$",78,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-soho-3-ambientes--10254516",78,3,"argenprop"
"gral guillermo miller 2300",-34.57241,-58.47979,0,1,4,,33000,"$",40,3,"https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza--10166026",43,1,"argenprop"
"av nazca 2700",-34.60429,-58.48754,0,1,3,4000,35000,"$",34,3,"https://www.argenprop.com/departamento-en-alquiler-en-villa-del-parque--10531884",37,1,"argenprop"
"avenida pueyrredon al 1100",-34.59708,-58.403,2,1,40,14000,49000,"$",52,0,"https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-3-ambientes--10682163",52,3,"argenprop"
"argerich al 3100",-34.60032,-58.49258,1,1,40,5000,36000,"$",37,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-del-parque-2-ambientes--10682133",37,2,"argenprop"
"arenales 1100",-34.59449,-58.38378,1,1,70,16000,18000,"$",41,0,"https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-2-ambientes--7797512",41,2,"argenprop"
"vera 900",-34.59515,-58.44158,1,1,20,13300,40000,"$",45,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-2-ambientes--10682088",45,2,"argenprop"
"aranguren 400",-34.61212,-58.43652,1,1,,4000,35000,"$",36,0,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--10682017",36,2,"argenprop"
"av cabildo 2800, piso 12",-34.55596,-58.46225,0,1,3,9000,29500,"$",46,0,"https://www.argenprop.com/departamento-en-alquiler-en-nunez-1-ambiente--6027010",46,1,"argenprop"
"angel gallardo 500, piso 2",-34.60534,-58.439,1,1,40,3750,28000,"$",37,0,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--10329144",37,2,"argenprop"
"av cabildo 2800",-34.55596,-58.46225,0,1,2,9000,29500,"$",46,0,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--4987634",46,1,"argenprop"
"angel gallardo 500, piso 2",-34.60534,-58.439,1,1,40,3750,28000,"$",37,0,"https://www.argenprop.com/departamento-en-alquiler-en-parque-centenario-2-ambientes--10612461",37,2,"argenprop"
"juan agustin garcia 1800, piso 0",-34.60376,-58.46864,2,1,,3000,47000,"$",60,5,"https://www.argenprop.com/departamento-en-alquiler-en-villa-general-mitre-3-ambientes--10681558",65,3,"argenprop"
"av montes de oca  1300, piso pb",-34.6431,-58.3735,1,1,50,4000,38000,"$",48,7,"https://www.argenprop.com/departamento-en-alquiler-en-barracas-2-ambientes--10046276",55,2,"argenprop"
"moldes 3500",-34.55098,-58.47059,0,1,2,4500,39000,"$",41,0,"https://www.argenprop.com/departamento-en-alquiler-en-nunez-1-ambiente--10681533",41,1,"argenprop"
"rosario vera peñaloza al 500",-34.6186,-58.36086,1,2,9,14000,160000,"$",59,0,"https://www.argenprop.com/departamento-en-alquiler-en-puerto-madero-2-ambientes--10353853",59,2,"argenprop"
"cervantes  2300, piso 1",-34.61854,-58.51326,0,1,10,1500,30000,"$",33,2,"https://www.argenprop.com/ph-en-alquiler-en-monte-castro-1-ambiente--10681485",35,1,"argenprop"
"directorio 1000",-34.62913,-58.44214,0,1,4,5000,32000,"$",34,0,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-1-ambiente--10681488",34,1,"argenprop"
"directorio 1000",-34.62913,-58.44214,0,1,4,5000,32000,"$",34,0,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-1-ambiente--10681488",34,1,"argenprop"
"cabello al 3100 8 piso -  entre bulnes y coronel diaz",-34.58237,-58.40599,2,2,,,1300,"USD",135,18,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-5-ambientes--10191567",153,3,"argenprop"
"av de los constituyentes 3600",-34.58844,-58.48543,1,1,35,4200,33000,"$",46,0,"https://www.argenprop.com/departamento-en-alquiler-en-agronomia--5838535",46,2,"argenprop"
"campana 4700, piso 4",-34.58885,-58.50794,0,1,12,4000,26000,"$",35,4,"https://www.argenprop.com/departamento-en-alquiler-en-villa-pueyrredon-1-ambiente--6459164",39,1,"argenprop"
"yerbal  5500",-34.6148,-58.43187,1,1,50,,32000,"$",40,3,"https://www.argenprop.com/departamento-en-alquiler-en-villa-luro-2-ambientes--10471022",43,2,"argenprop"
"la fuente 300, piso 3",,,0,1,,5500,,"",40,3,"https://www.argenprop.com/departamento-en-alquiler-en-flores-1-ambiente--10160731",43,1,"argenprop"
"venezuela 900, piso 11",-34.61419,-58.37871,0,,2,4300,31000,"$",33,4,"https://www.argenprop.com/departamento-en-alquiler-en-monserrat-1-ambiente--10681008",37,1,"argenprop"
"guatemala 4600",-34.57806,-58.42653,2,2,13,19000,1000,"USD",80,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-soho-3-ambientes--10681318",80,3,"argenprop"
"pte jose evaristo uriburu 100, piso 4",-34.60855,-58.39778,0,1,,5000,21000,"$",30,0,"https://www.argenprop.com/departamento-en-alquiler-en-congreso-1-ambiente--10681304",30,1,"argenprop"
"av. rivadavia 6100, piso pb",-34.62531,-58.45347,5,2,90,3000,60000,"$",113,26,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-6-ambientes--9857549",139,6,"argenprop"
"aguilar 2200",-34.56798,-58.44637,1,2,15,13900,70000,"$",44,0,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--10620928",44,2,"argenprop"
"apolinario d. figueroa 100",-34.60281,-58.44358,1,2,10,8000,40000,"$",38,3,"https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-2-ambientes--10680560",41,2,"argenprop"
"cuba 2500",-34.55661,-58.45837,2,1,39,24000,75000,"$",98,0,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--10650107",98,3,"argenprop"
"charcas 3300, piso 7",-34.59108,-58.41299,2,,50,9500,47000,"$",53,3,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-3-ambientes--10606802",56,3,"argenprop"
"cachimayo 100, piso 2",-34.6221,-58.44244,1,1,60,6000,29000,"$",26,0,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--10681080",26,2,"argenprop"
"cochabamba  400, piso 3",-34.62312,-58.37103,1,1,50,6000,25000,"$",34,0,"https://www.argenprop.com/departamento-en-alquiler-en-san-telmo-2-ambientes--9836769",34,2,"argenprop"
"freire 2660, piso 6 c",-34.56158,-58.46897,0,1,1,6500,38000,"$",34,5,"https://www.argenprop.com/departamento-en-alquiler-en-coghlan-1-ambiente--10680553",39,1,"argenprop"
"freire  al 2600",-34.5619,-58.46869,1,1,10,16000,52000,"$",50,7,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--10680864",57,2,"argenprop"
"helguera 2700, piso 8",-34.60329,-58.49157,1,1,40,5100,35000,"$",40,12,"https://www.argenprop.com/departamento-en-alquiler-en-villa-del-parque-2-ambientes--10315668",52,2,"argenprop"
"helguera 2700, piso 8",-34.60329,-58.49157,1,1,40,5100,35000,"$",40,12,"https://www.argenprop.com/departamento-en-alquiler-en-villa-del-parque-2-ambientes--10315668",52,2,"argenprop"
"avenida jonte  1800",-34.60162,-58.46886,1,,,,25000,"$",42,3,"https://www.argenprop.com/departamento-en-alquiler-en-paternal-2-ambientes--10680988",45,2,"argenprop"
"avda santa fe  3000, piso 7",-34.59023,-58.4085,3,3,50,17000,85000,"$",85,5,"https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-4-ambientes--9032113",90,4,"argenprop"
"avenida corrientes 4600, piso 8",-34.60242,-58.43014,1,1,35,2900,33000,"$",33,1,"https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-2-ambientes--10680549",34,2,"argenprop"
"avenida corrientes 4600, piso 8",-34.6065,-58.43563,1,1,35,2900,33000,"$",33,1,"https://www.argenprop.com/departamento-en-alquiler-en-parque-centenario-2-ambientes--10680561",34,2,"argenprop"
"avenida corrientes 4600, piso 8",-34.60242,-58.43014,1,1,35,2900,33000,"$",33,1,"https://www.argenprop.com/departamento-en-alquiler-en-almagro-2-ambientes--10680568",34,2,"argenprop"
"av santa fe 5000",-34.57603,-58.43036,2,2,11,21000,180000,"$",74,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-3-ambientes--9123953",74,3,"argenprop"
"suipacha 1300",-34.59169,-58.38005,1,1,50,6000,35000,"$",35,0,"https://www.argenprop.com/departamento-en-alquiler-en-retiro-1-ambiente--10680774",35,2,"argenprop"
"arenales 1100",-34.59464,-58.38367,2,1,50,19000,64000,"$",70,0,"https://www.argenprop.com/departamento-en-alquiler-en-retiro-3-ambientes--10680769",70,3,"argenprop"
"perú 800, piso 7",-34.61845,-58.37431,1,1,80,9100,25000,"$",33,0,"https://www.argenprop.com/departamento-en-alquiler-en-san-telmo-2-ambientes--10680705",33,2,"argenprop"
"av. alvarez jonte 4700",-34.61957,-58.50499,1,1,40,,33000,"$",38,0,"https://www.argenprop.com/departamento-en-alquiler-en-monte-castro-2-ambientes--9611327",38,2,"argenprop"
"medrano 100, piso 11",-34.61075,-58.42096,3,2,20,17350,85000,"$",74,2,"https://www.argenprop.com/departamento-en-alquiler-en-almagro-4-ambientes--10342975",76,4,"argenprop"
"estado de israel al 4500",-34.59951,-58.4302,2,1,45,10000,50000,"$",55,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-3-ambientes--10489696",55,3,"argenprop"
"gallardo angel, avda. al 100",-34.60324,-58.43476,0,1,30,5800,28000,"$",33,3,"https://www.argenprop.com/departamento-en-alquiler-en-almagro-1-ambiente--10631237",36,1,"argenprop"
"av. dorrego 2468",-34.57541,-58.43655,1,1,5,10000,59500,"$",45,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-2-ambientes--10631910",45,2,"argenprop"
"balcarce  300",-34.61105,-58.37048,0,1,50,4500,22000,"$",22,4,"https://www.argenprop.com/departamento-en-alquiler-en-san-telmo-1-ambiente--10680520",26,1,"argenprop"
"freire al 2100",-34.56593,-58.46515,0,1,5,,120000,"$",34,0,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-r-1-ambiente--10608991",34,1,"argenprop"
"concordia 2100, piso 6",-34.61234,-58.49285,,,,6500,60000,"$",65,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-del-parque--9026115",65,,"argenprop"
"lafuente 37  5a",-34.63094,-58.46811,0,1,1,8400,39000,"$",38,0,"https://www.argenprop.com/departamento-en-alquiler-en-flores-1-ambiente--10680433",38,1,"argenprop"
"lafuente 37  3a",-34.63094,-58.46811,0,1,1,8400,37000,"$",38,0,"https://www.argenprop.com/departamento-en-alquiler-en-flores-1-ambiente--10680426",38,1,"argenprop"
"av córdoba 2400",,,3,2,,13000,75000,"$",90,10,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--10505504",100,4,"argenprop"
"virrey liniers al 100",-34.61715,-58.41423,2,,40,7000,45000,"$",53,2,"https://www.argenprop.com/departamento-en-alquiler-en-almagro-3-ambientes--10680408",55,3,"argenprop"
"scalabrini ortiz al 1600",-34.57807,-58.42653,0,1,6,16900,60000,"$",47,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-soho-2-ambientes--10680396",47,1,"argenprop"
"boyaca 533 ed c/jdin mts subte",-34.62096,-58.46055,1,1,50,4000,28000,"$",45,0,"https://www.argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--10426898",45,2,"argenprop"
"l griveo 2200, piso 3",-34.57941,-58.49557,,,,,44000,"$",43,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-pueyrredon--10680365",43,,"argenprop"
"nicaragua  5800, piso 3",-34.57961,-58.43602,1,1,5,10150,41000,"$",36,4,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-2-ambientes--7323709",40,2,"argenprop"
"austria 2500, piso 10",-34.58503,-58.40023,0,,12,,42000,"$",38,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--9857475",38,1,"argenprop"
"av c vidal 2800, piso 2",-34.55835,-58.46548,1,1,25,8000,33000,"$",35,0,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--5051492",35,2,"argenprop"
"av. monroe 2200, piso 5",-34.55749,-58.45834,2,1,,13000,47000,"$",70,0,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-3-ambientes--10680347",70,3,"argenprop"
"larrea 200, piso 6",-34.60657,-58.40202,0,1,60,,28000,"$",33,0,"https://www.argenprop.com/departamento-en-alquiler-en-once-1-ambiente--6063778",33,1,"argenprop"
"11 de septiembre 2600",-34.55389,-58.45557,0,1,15,8500,32000,"$",30,5,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--10056421",35,1,"argenprop"
"carlos calvo 500",-34.61969,-58.37268,3,2,100,,110000,"$",160,130,"https://www.argenprop.com/casa-en-alquiler-en-san-telmo-4-ambientes--10630300",290,4,"argenprop"
"arribeños al 1500",-34.56341,-58.44566,4,5,9,120000,3000,"USD",260,0,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-5-ambientes--10680249",260,5,"argenprop"
"nazarre 2700",-34.59861,-58.48861,3,2,30,,190000,"$",200,189,"https://www.argenprop.com/casa-en-alquiler-en-villa-del-parque-4-ambientes--10621938",389,4,"argenprop"
"directorio, avda. 1000, piso 3",-34.62924,-58.44226,0,1,,8000,32000,"$",32,7,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-1-ambiente--10679627",39,1,"argenprop"
"fitz roy 2300, piso 3",38.11569,13.36127,2,2,,15000,72000,"$",59,30,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-3-ambientes--10409823",89,3,"argenprop"
"beruti al 4600",-34.57752,-58.42532,1,1,9,18500,85000,"$",50,5,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-nuevo-2-ambientes--10617050",55,2,"argenprop"
"beruti al 4600",-34.57752,-58.42532,1,1,9,18500,85000,"$",50,5,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-nuevo-2-ambientes--10617050",55,2,"argenprop"
"beruti al 4600",-34.57752,-58.42532,1,1,9,18500,85000,"$",50,5,"https://www.argenprop.com/departamento-en-alquiler-en-botanico-2-ambientes--10566727",55,2,"argenprop"
"manzanares al 1600",-34.54348,-58.46157,1,1,20,,55000,"$",43,0,"https://www.argenprop.com/departamento-en-alquiler-en-nunez-2-ambientes--10227438",43,2,"argenprop"
"av pedro goyena al 800",-34.62643,-58.43949,3,2,9,37000,249000,"$",141,0,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-4-ambientes--10334607",141,4,"argenprop"
"frias 500, piso 2",-34.60102,-58.43251,1,1,,3200,25000,"$",35,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-1-ambiente--9979798",35,2,"argenprop"
"jorge newbery al 1790",-34.56806,-58.4354,1,2,5,10000,70000,"$",56,0,"https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-2-ambientes--10234952",56,2,"argenprop"
"argerich 3100",-34.6007,-58.49194,2,1,,,90000,"$",125,0,"https://www.argenprop.com/ph-en-alquiler-en-villa-del-parque-3-ambientes--10579902",125,3,"argenprop"
"humboldt 2200",-34.58093,-58.43062,1,1,6,10000,60000,"$",45,4,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-2-ambientes--10680205",49,2,"argenprop"
"bahia blanca 100",-34.6034,-58.4441,2,1,,3500,38500,"$",51,0,"https://www.argenprop.com/departamento-en-alquiler-en-velez-sarsfield-3-ambientes--10660380",51,3,"argenprop"
"acuña de figueroa 1500",,,5,5,100,,4500,"USD",537,0,"https://www.argenprop.com/casa-en-alquiler-en-palermo-6-ambientes--9007445",537,6,"argenprop"
"frias 500, piso 2",-34.60099,-58.43272,0,1,,3200,25000,"$",35,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-1-ambiente--9072468",35,1,"argenprop"
"av. san juan 4100, piso 1",-34.62647,-58.42265,2,1,6,3255,58000,"$",51,23,"https://www.argenprop.com/departamento-en-alquiler-en-boedo-3-ambientes--10551562",74,3,"argenprop"
"los patos 1900, piso 1",-34.63771,-58.38939,2,1,70,2260,37500,"$",70,9,"https://www.argenprop.com/departamento-en-alquiler-en-parque-patricios-3-ambientes--10435545",79,3,"argenprop"
"ecuador  800, piso 2",-34.59991,-58.40643,2,1,50,10547,40000,"$",70,4,"https://www.argenprop.com/departamento-en-alquiler-en-once-2-ambientes--10434879",74,3,"argenprop"
"los patos  1900, piso 1",-34.63771,-58.38939,2,1,70,2260,37500,"$",70,9,"https://www.argenprop.com/departamento-en-alquiler-en-parque-patricios-3-ambientes--10420954",79,3,"argenprop"
"los patos  1900, piso 1",-34.63771,-58.38939,2,1,70,2260,37500,"$",70,9,"https://www.argenprop.com/departamento-en-alquiler-en-barracas-3-ambientes--10420966",79,3,"argenprop"
"i portela 300, piso 3",-34.63637,-58.4715,2,1,50,9175,35000,"$",60,0,"https://www.argenprop.com/departamento-en-alquiler-en-floresta-3-ambientes--10105759",60,3,"argenprop"
"i portela 300, piso 3",-34.63637,-58.4715,2,1,50,9175,35000,"$",60,0,"https://www.argenprop.com/departamento-en-alquiler-en-flores-3-ambientes--10105757",60,3,"argenprop"
"ramón l. falcón  4900, piso 5",-34.63828,-58.49686,1,1,10,7600,43000,"$",50,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-luro-2-ambientes--10631547",50,2,"argenprop"
"gregorio pomar al 4300",-34.64096,-58.42237,3,1,30,,55000,"$",60,0,"https://www.argenprop.com/departamento-en-alquiler-en-pompeya-4-ambientes--10649727",60,4,"argenprop"
"lambare 900",-34.60381,-58.43061,2,1,53,,46000,"$",41,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-3-ambientes--9836734",41,3,"argenprop"
"montevideo 1700",-34.59037,-58.38658,2,2,51,22000,80000,"$",95,8,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--9011921",103,3,"argenprop"
"av entre rios 400, piso 2",-34.6141,-58.39158,0,1,,4300,22000,"$",28,0,"https://www.argenprop.com/departamento-en-alquiler-en-congreso-1-ambiente--10680122",28,1,"argenprop"
"av medrano  900",-34.59965,-58.42064,2,1,41,10000,65000,"$",75,10,"https://www.argenprop.com/departamento-en-alquiler-en-almagro-3-ambientes--10649684",85,3,"argenprop"
"nicaragua al 5500",-34.58171,-58.43305,0,1,4,8700,37000,"$",32,3,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-1-ambiente--10680005",35,1,"argenprop"
"vera al 100",-34.60171,-58.43519,2,1,70,2700,45000,"$",60,7,"https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-3-ambientes--8493798",67,3,"argenprop"
"darwin 1100, piso pb",-34.58997,-58.44025,2,2,25,17000,1100,"USD",183,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-3-ambientes--8413097",183,3,"argenprop"
"josé a. cabrera  3300",-34.59692,-58.41277,0,1,5,,37500,"$",33,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--10454261",33,1,"argenprop"
"vidt 1700, piso 7",-34.59081,-58.41552,0,1,,8000,25000,"$",28,2,"https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-1-ambiente--9022952",30,1,"argenprop"
"josé a. cabrera 3300",-34.59692,-58.41277,0,1,5,,37500,"$",33,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--10454350",33,1,"argenprop"
"serrano 1300, piso 6",-34.59021,-58.43232,2,1,40,7800,60000,"$",57,3,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-3-ambientes--10679950",60,3,"argenprop"
"manuel r trelles 900, piso 5",-34.61641,-58.45988,1,1,19,5000,40000,"$",48,8,"https://www.argenprop.com/departamento-en-alquiler-en-caballito--10637078",56,2,"argenprop"
"av santa fe 5000, piso 4",-34.57696,-58.43087,1,1,40,3600,28000,"$",32,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--10346136",32,2,"argenprop"
"av santa fe 5000, piso 4",-34.57696,-58.43087,1,1,40,5200,28000,"$",32,0,"https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-2-ambientes--10346101",32,2,"argenprop"
"av rivadavia 7900",-34.63266,-58.47608,2,1,8,11300,70000,"$",75,165,"https://www.argenprop.com/departamento-en-alquiler-en-flores-3-ambientes--10320659",240,3,"argenprop"
"juana manso 1100",-34.60976,-58.36282,1,2,13,25000,87000,"$",60,10,"https://www.argenprop.com/departamento-en-alquiler-en-puerto-madero-2-ambientes--10407634",70,2,"argenprop"
"marcelo t alvear  1400, piso 9",-34.59722,-58.38788,2,,,10500,42000,"$",52,6,"https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-3-ambientes--9954888",58,3,"argenprop"
"billinghurst al 1300",-34.59385,-58.413,0,1,40,7320,29000,"$",29,3,"https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-1-ambiente--10679843",32,1,"argenprop"
"estero bellaco 6900",-34.64873,-58.5241,1,1,,,25000,"$",25,0,"https://www.argenprop.com/ph-en-alquiler-en-liniers-1-ambiente--10679734",25,2,"argenprop"
"jose a cabrera 3400, piso 6",-34.59685,-58.41399,1,1,6,6100,50000,"$",51,5,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--10679692",56,2,"argenprop"
"malabia 2251",-34.58641,-58.42019,1,1,68,9900,36000,"$",42,3,"https://www.argenprop.com/departamento-en-alquiler-en-botanico-2-ambientes--10679604",45,2,"argenprop"
"bauness 1900, piso 2",,,0,1,6,6000,29000,"$",33,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza--10395001",33,1,"argenprop"
"humberto primo 2900, piso 13",-34.62306,-58.4057,0,1,50,5900,25000,"$",32,0,"https://www.argenprop.com/departamento-en-alquiler-en-san-cristobal-1-ambiente--10420997",32,1,"argenprop"
"sánchez de loria 1100, piso 12",-34.62296,-58.41204,1,,30,4000,30000,"$",28,0,"https://www.argenprop.com/departamento-en-alquiler-en-boedo-2-ambientes--10564062",28,2,"argenprop"
"paraguay al 5200",-34.57931,-58.43118,1,1,30,4500,30000,"$",35,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-1-ambiente--10621973",35,2,"argenprop"
"billinghurst 2300",-34.58519,-58.40536,1,1,41,8900,45000,"$",45,4,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--10651022",49,2,"argenprop"
"pergamino 100",-34.63306,-58.474,1,1,31,,30000,"$",33,0,"https://www.argenprop.com/departamento-en-alquiler-en-floresta-2-ambientes--10677265",33,2,"argenprop"
"corrientes, avda. al 5600",-34.59586,-58.4428,1,1,40,5900,29000,"$",34,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-2-ambientes--10289564",34,2,"argenprop"
"diaz cnel. av. al 1700",-34.59058,-58.41161,2,1,60,10433,70000,"$",60,5,"https://www.argenprop.com/departamento-en-alquiler-en-botanico-3-ambientes--10678509",65,3,"argenprop"
"darregueyra al 2400",-34.58054,-58.42406,0,1,20,9455,38000,"$",34,0,"https://www.argenprop.com/departamento-en-alquiler-en-botanico-1-ambiente--10678501",34,1,"argenprop"
"callao av. al 1300",-34.5934,-58.39284,4,2,50,46300,190000,"$",196,11,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-5-ambientes--10627945",207,5,"argenprop"
"yerbal al 900",-34.62024,-58.44452,1,1,35,7000,30000,"$",35,6,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--10678453",41,2,"argenprop"
"las heras gral. av. al 1800",-34.59145,-58.39252,2,2,60,20000,90000,"$",97,9,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--10605777",106,3,"argenprop"
"juncal al 900",-34.59286,-58.38113,2,1,70,31000,98000,"$",100,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--10565563",100,3,"argenprop"
"arcos al 2700",-34.58109,-58.42849,3,2,35,29125,1000,"USD",105,0,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--10678239",105,4,"argenprop"
"arenales al 1400",-34.5946,-58.38827,2,1,90,22000,135000,"$",165,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-5-ambientes--10678190",165,3,"argenprop"
"del libertador av. al 6700",-34.55023,-58.45364,2,1,21,21756,90000,"$",65,0,"https://www.argenprop.com/departamento-en-alquiler-en-nunez-3-ambientes--10678189",65,3,"argenprop"
"libertad al 1100",-34.59471,-58.38424,5,2,45,17000,190000,"$",130,4,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-6-ambientes--10605774",134,6,"argenprop"
"ortiz de ocampo 2500",-34.58311,-58.40517,2,1,53,10500,65000,"$",67,9,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-3-ambientes--10649605",76,3,"argenprop"
"posadas al 1100",-34.59015,-58.38313,2,1,50,30941,90000,"$",108,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--10678158",108,3,"argenprop"
"gurruchaga al 2300",-34.58386,-58.42171,2,1,40,15175,80000,"$",63,7,"https://www.argenprop.com/departamento-en-alquiler-en-botanico-3-ambientes--10082196",70,3,"argenprop"
"humberto primo al 100",-34.62042,-58.36718,0,1,,,11000,"USD",2351,88,"https://www.argenprop.com/casa-en-alquiler-en-san-telmo--9857336",2439,1,"argenprop"
"ayacucho al 1300",-34.59301,-58.39542,1,1,50,7700,45000,"$",36,3,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--9857261",39,2,"argenprop"
"rodriguez pena al 2000",-34.58758,-58.38568,2,1,50,9605,80000,"$",67,8,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--9857167",75,3,"argenprop"
