"ubicacion","lat","lon","cant_dorms","cant_banos","antiguedad","expensas","precio","precio_moneda","sup_cub","sup_des","href","sup_total","ambientes","fuente"
"giribone 1900",-34.57949,-58.46873,2,1,1972,,40000,"$",54,39,"https://www.argenprop.com/ph-en-alquiler-en-villa-ortuzar-3-ambientes--10680215",93,3,"argenprop"
"fortin melincue 3200, piso 6",-34.60321,-58.49447,1,1,,4500,28000,"$",40,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-del-parque-2-ambientes--10342550",40,2,"argenprop"
"sanchez de bustamante al 2300",-34.58631,-58.40467,3,3,5,,160000,"$",113,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--10429324",113,4,"argenprop"
"ortega y gasset 1900",-34.57067,-58.43326,3,1,55,12400,70000,"$",72,0,"https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-4-ambientes--10712881",72,4,"argenprop"
"thames 2300",-34.58256,-58.42311,1,1,7,5852,35000,"$",44,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--10712859",44,2,"argenprop"
"blanco encalada 2500",-34.56012,-58.4603,1,1,35,3850,33000,"$",42,0,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-c-2-ambientes--10712855",42,2,"argenprop"
"olazabal  4900, piso 9",-34.5759,-58.48492,3,2,60,16000,85000,"$",92,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-4-ambientes--10712751",92,4,"argenprop"
"santa maria fray justo oro  2800",-34.57561,-58.4209,2,2,15,,1900,"USD",70,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-3-ambientes--10712773",70,3,"argenprop"
"santa maria fray justo oro  2800",-34.57561,-58.4209,2,2,15,,1900,"USD",70,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-3-ambientes--8404502",70,3,"argenprop"
"gral m de escalada 100",-34.63924,-58.50232,1,1,45,2575,32000,"$",50,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-luro--10427376",50,2,"argenprop"
"ruíz huidobro al 2400",-34.5447,-58.47205,1,1,20,,50000,"$",48,8,"https://www.argenprop.com/departamento-en-alquiler-en-nunez-2-ambientes--10693154",56,2,"argenprop"
"juan b justo  7900",-34.63219,-58.50006,2,1,58,11000,50000,"$",60,4,"https://www.argenprop.com/departamento-en-alquiler-en-villa-luro-3-ambientes--10702975",64,3,"argenprop"
"juan b justo  7900",-34.63219,-58.50006,2,1,58,11000,50000,"$",60,4,"https://www.argenprop.com/departamento-en-alquiler-en-floresta-3-ambientes--10703014",64,3,"argenprop"
"3 de febrero 1900",-34.56141,-58.45042,4,5,43,37000,4900,"USD",440,0,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-8-ambientes--10264864",440,5,"argenprop"
"av  corrientes  3900, piso 6",,,2,,30,11000,52000,"$",65,0,"https://www.argenprop.com/departamento-en-alquiler-en-almagro-3-ambientes--6460738",65,3,"argenprop"
"lambare  800, piso 2",-34.60433,-58.43034,1,1,70,5000,33000,"$",38,0,"https://www.argenprop.com/departamento-en-alquiler-en-almagro-2-ambientes--5878925",38,2,"argenprop"
